tradeday,account,nav
2017-06-16,XLIN01,1012.7
2017-06-19,XLIN01,1037.15
2017-06-20,XLIN01,1022.25
2017-06-21,XLIN01,1043.9
2017-06-22,XLIN01,1051.05
2017-06-23,XLIN01,1068.25
2017-06-26,XLIN01,1069.8
2017-06-27,XLIN01,1049.9
2017-06-28,XLIN01,1070.3
2017-06-29,XLIN01,1049.75
2017-06-30,XLIN01,2047.35
2017-07-03,XLIN01,2054.1
2017-07-04,XLIN01,2054.1
2017-07-05,XLIN01,2048.7
2017-07-06,XLIN01,2037.38
2017-07-07,XLIN01,2040.63
2017-07-10,XLIN01,2028.32
2017-07-11,XLIN01,2037.66
2017-07-12,XLIN01,2358.85
2017-07-13,XLIN01,2364.78
2017-07-14,XLIN01,2902.65
2017-07-17,XLIN01,2896.03
2017-07-18,XLIN01,2893.41
2017-07-19,XLIN01,2922.64
2017-07-20,XLIN01,2938.91
2017-07-21,XLIN01,2932.95
2017-07-24,XLIN01,2933.07
2017-07-25,XLIN01,2968.43
2017-07-26,XLIN01,2995.89
2017-07-27,XLIN01,2970.29
2017-07-28,XLIN01,2978.63
2017-07-31,XLIN01,3478.85
2017-08-01,XLIN01,3670.01
2017-08-02,XLIN01,3660.86
2017-08-03,XLIN01,3632.19
2017-08-04,XLIN01,3644.97
2017-08-07,XLIN01,3671.81
2017-08-08,XLIN01,3654.85
2017-08-09,XLIN01,3642.22
2017-08-10,XLIN01,3572.68
2017-08-11,XLIN01,3582.875
2017-08-14,XLIN01,3580.365
2017-08-15,XLIN01,3556.655
2017-08-16,XLIN01,3557.335
2017-08-17,XLIN01,3491.085
2017-08-18,XLIN01,3477.125
2017-08-21,XLIN01,3476.345
2017-08-22,XLIN01,3521.155
2017-08-23,XLIN01,3520.805
2017-08-24,XLIN01,3433.905
2017-08-25,XLIN01,3454.895
2017-08-28,XLIN01,3455.805
2017-08-29,XLIN01,3472.285
2017-08-30,XLIN01,3513.575
2017-08-31,XLIN01,3509.025
2017-09-01,XLIN01,3542.685
2017-09-04,XLIN01,3542.685
2017-09-05,XLIN01,3518.155
2017-09-06,XLIN01,3547.195
2017-09-07,XLIN01,3586.375
2017-09-08,XLIN01,3491.275
2017-09-11,XLIN01,3532.215
2017-09-12,XLIN01,3577.175
2017-09-13,XLIN01,3609.725
2017-09-14,XLIN01,3582.635
2017-09-15,XLIN01,3591.865
2017-09-18,XLIN01,3563.465
2017-09-19,XLIN01,3554.855
2017-09-20,XLIN01,3541.985
2017-09-21,XLIN01,3491.775
2017-09-22,XLIN01,3489.805
2017-09-25,XLIN01,3448.745
2017-09-26,XLIN01,3440.045
2017-09-27,XLIN01,3428.985
2017-09-28,XLIN01,3415.995
2017-09-29,XLIN01,3402.735
2017-10-02,XLIN01,3406.555
2017-10-03,XLIN01,3455.815
2017-10-04,XLIN01,3459.705
2017-10-05,XLIN01,3497.355
2017-10-06,XLIN01,3482.095
2017-10-09,XLIN01,3454.795
2017-10-10,XLIN01,3482.995
2017-10-11,XLIN01,3495.515
2017-10-12,XLIN01,3520.215
2017-10-13,XLIN01,3556.475
2017-10-16,XLIN01,3511.055
2017-10-17,XLIN01,3516.835
2017-10-18,XLIN01,3517.745
2017-10-19,XLIN01,3519.065
2017-10-20,XLIN01,3522.985
2017-10-23,XLIN01,3503.385
2017-10-24,XLIN01,3509.795
2017-10-25,XLIN01,3432.075
2017-10-26,XLIN01,3517.125
2017-10-27,XLIN01,3546.725
2017-10-30,XLIN01,3525.625
2017-10-31,XLIN01,3521.475
2017-11-01,XLIN01,6028.815
2017-11-02,XLIN01,6044.535
2017-11-03,XLIN01,6057.715
2017-11-06,XLIN01,6029.615
2017-11-07,XLIN01,6046.975
2017-11-08,XLIN01,6069.575
2017-11-09,XLIN01,6065.055
2017-11-10,XLIN01,6117.085
2017-11-13,XLIN01,6141.745
2017-11-14,XLIN01,6123.86
2017-11-15,XLIN01,6114.55
2017-11-16,XLIN01,6187.32
2017-11-17,XLIN01,6286.18
2017-11-20,XLIN01,6256.2
2017-11-21,XLIN01,6280.58
2017-11-22,XLIN01,6308.3
2017-11-23,XLIN01,6308.3
2017-11-24,XLIN01,6298.62
2017-11-27,XLIN01,6195.49
2017-11-28,XLIN01,6265.87
2017-11-29,XLIN01,6254.8
2017-11-30,XLIN01,6333.65
2017-12-01,XLIN01,6332.286
2017-12-04,XLIN01,6396.636
2017-12-05,XLIN01,6398.766
2017-12-06,XLIN01,6403.816
2017-12-07,XLIN01,6421.076
2017-12-08,XLIN01,6438.596
2017-12-11,XLIN01,6461.166
2017-12-12,XLIN01,6446.746
2017-12-13,XLIN01,6484.356
2017-12-14,XLIN01,6467.996
2017-12-15,XLIN01,6492.966
2017-12-18,XLIN01,6617.906
2017-12-19,XLIN01,6634.796
2017-12-20,XLIN01,6571.206
2017-12-21,XLIN01,6557.508
2017-12-22,XLIN01,6568.828
2017-12-25,XLIN01,6568.828
2017-12-26,XLIN01,6529.468
2017-12-27,XLIN01,6545.688
2017-12-28,XLIN01,6537.278
2017-12-29,XLIN01,6485.728
2018-01-01,XLIN01,6485.728
2018-01-02,XLIN01,6586.828
2018-01-03,XLIN01,6663.678
